                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64869,                0.51539,                0.98122,                0.92905,                0.90783,                0.94281,                0.78292,                 0.7033,                 0.4942,                 0.9947,              0.0002614,              0.0002614,              0.0002614
                     37,                0.63605,                0.50496,                0.98101,                 0.9204,                 0.9181,                0.95168,                0.79822,                0.66907,                0.46144,                0.98338,             0.00025744,             0.00025744,             0.00025744
                     38,                0.63267,                0.50552,                0.97113,                0.92266,                0.90308,                0.94125,                0.79303,                0.67582,                0.50969,                0.98443,             0.00025348,             0.00025348,             0.00025348
                     39,                0.62097,                0.49581,                0.96521,                0.93186,                0.87298,                 0.9401,                0.79222,                0.68241,                0.51581,                0.98738,             0.00024952,             0.00024952,             0.00024952
                     40,                 0.6468,                0.48979,                0.98411,                0.92392,                0.91986,                0.94534,                0.79181,                0.68646,                0.48317,                 0.9842,             0.00024556,             0.00024556,             0.00024556
                     41,                0.62915,                0.49231,                0.96987,                0.92244,                0.91155,                0.95386,                0.80444,                0.67367,                0.48151,                0.98031,              0.0002416,              0.0002416,              0.0002416
                     42,                0.60561,                0.47206,                  0.957,                0.94171,                0.90672,                0.95456,                0.80914,                0.66233,                0.47026,                0.96757,             0.00023764,             0.00023764,             0.00023764
                     43,                0.62244,                0.47686,                 0.9605,                0.94961,                0.93647,                 0.9544,                0.80256,                0.67052,                 0.4468,                0.97506,             0.00023368,             0.00023368,             0.00023368
                     44,                0.60864,                0.47372,                0.96355,                0.91815,                 0.9134,                0.94532,                 0.7955,                0.67878,                0.48463,                0.98223,             0.00022972,             0.00022972,             0.00022972
                     45,                0.62152,                0.46625,                 0.9764,                0.89912,                0.90582,                0.93527,                0.79347,                 0.6822,                0.53423,                0.98496,             0.00022576,             0.00022576,             0.00022576
                     46,                0.59734,                0.45188,                0.95772,                0.94004,                0.91289,                0.94484,                0.79083,                0.68502,                0.47018,                0.98609,              0.0002218,              0.0002218,              0.0002218
                     47,                0.60408,                0.44366,                0.95763,                0.93759,                0.90347,                0.94441,                0.79737,                0.67602,                0.48283,                0.97977,             0.00021784,             0.00021784,             0.00021784
                     48,                0.59145,                0.43651,                 0.9628,                0.93508,                0.91682,                0.95044,                0.79673,                0.68909,                0.46095,                0.99231,             0.00021388,             0.00021388,             0.00021388
                     49,                 0.5881,                0.44605,                 0.9506,                0.93827,                0.91549,                0.94314,                0.79559,                0.68126,                0.49229,                0.98567,             0.00020992,             0.00020992,             0.00020992
                     50,                 0.5837,                0.42142,                0.95676,                0.91011,                0.91307,                0.94078,                0.79675,                0.65873,                0.50607,                0.97152,             0.00020596,             0.00020596,             0.00020596
                     51,                0.58474,                0.43214,                0.94696,                 0.9421,                0.90974,                0.94248,                0.79034,                0.69477,                0.48473,                0.99907,               0.000202,               0.000202,               0.000202
                     52,                0.57004,                0.43244,                0.95349,                0.92325,                0.90855,                0.94334,                0.79592,                0.68121,                0.48314,                0.98295,             0.00019804,             0.00019804,             0.00019804
                     53,                0.56859,                0.42879,                0.94684,                0.92052,                0.92531,                0.95267,                0.80312,                0.68069,                  0.443,                0.98924,             0.00019408,             0.00019408,             0.00019408
                     54,                0.57364,                0.42727,                0.95012,                0.91549,                0.92009,                0.94334,                0.79797,                0.66915,                0.46485,                0.96686,             0.00019012,             0.00019012,             0.00019012
                     55,                0.55739,                0.41162,                0.93673,                0.94369,                0.91538,                 0.9483,                0.80472,                0.67104,                  0.472,                0.97989,             0.00018616,             0.00018616,             0.00018616
                     56,                0.56704,                0.40065,                0.94798,                0.94941,                0.91404,                0.95141,                0.80437,                0.66883,                0.43938,                0.97306,              0.0001822,              0.0001822,              0.0001822
                     57,                0.55977,                0.40061,                 0.9502,                0.94554,                0.90633,                0.95094,                0.79306,                0.68494,                0.47385,                0.98907,             0.00017824,             0.00017824,             0.00017824
                     58,                0.55233,                0.40057,                0.94633,                0.94036,                0.90341,                 0.9407,                0.80178,                0.67503,                0.47263,                0.98091,             0.00017428,             0.00017428,             0.00017428
                     59,                0.55011,                0.39963,                0.93976,                0.92516,                0.91755,                0.94283,                0.79547,                0.68588,                0.47609,                0.98755,             0.00017032,             0.00017032,             0.00017032
                     60,                0.54778,                0.41149,                0.93986,                0.93532,                0.92193,                 0.9414,                0.80059,                0.66854,                0.48071,                0.97565,             0.00016636,             0.00016636,             0.00016636
                     61,                0.52842,                0.39561,                 0.9329,                0.93176,                0.91284,                0.93547,                0.79265,                 0.6851,                0.51058,                0.98605,              0.0001624,              0.0001624,              0.0001624
                     62,                0.53123,                0.37375,                 0.9355,                0.93799,                0.91225,                0.94036,                0.79667,                0.67465,                0.48625,                0.98107,             0.00015844,             0.00015844,             0.00015844
                     63,                0.53771,                 0.3854,                0.93375,                0.92172,                0.91954,                0.93997,                0.79263,                0.68777,                0.47145,                0.99513,             0.00015448,             0.00015448,             0.00015448
                     64,                0.52704,                0.38176,                0.93355,                0.93266,                0.92114,                0.93976,                0.79587,                0.66558,                0.47805,                0.97705,             0.00015052,             0.00015052,             0.00015052
                     65,                0.52985,                0.37716,                0.93391,                0.93416,                 0.9133,                0.94303,                0.79811,                0.67578,                0.45966,                0.97921,             0.00014656,             0.00014656,             0.00014656
                     66,                0.52065,                0.37429,                0.93098,                 0.9475,                0.89564,                0.93567,                0.79518,                0.67722,                0.47576,                0.98311,              0.0001426,              0.0001426,              0.0001426
                     67,                0.51769,                0.38191,                0.93089,                0.92718,                0.92073,                0.94098,                0.80509,                0.68064,                0.46944,                0.98172,             0.00013864,             0.00013864,             0.00013864
                     68,                0.52656,                0.36891,                0.94638,                0.91538,                0.90992,                0.93209,                0.79427,                0.67858,                0.49646,                0.98421,             0.00013468,             0.00013468,             0.00013468
                     69,                0.51539,                0.35965,                0.93413,                0.92945,                0.91548,                0.94259,                0.79732,                0.67335,                0.46367,                0.98233,             0.00013072,             0.00013072,             0.00013072
                     70,                0.52741,                0.37505,                0.93323,                0.94695,                 0.9064,                0.94176,                0.80182,                0.68271,                0.47087,                0.98824,             0.00012676,             0.00012676,             0.00012676
                     71,                 0.5076,                0.36086,                 0.9269,                0.94702,                0.91263,                0.95003,                 0.8088,                0.67289,                0.44314,                0.98341,              0.0001228,              0.0001228,              0.0001228
                     72,                0.50076,                0.35379,                 0.9233,                0.91513,                0.93765,                 0.9489,                0.80899,                 0.6664,                0.43468,                0.97541,             0.00011884,             0.00011884,             0.00011884
                     73,                0.49918,                 0.3582,                0.92497,                0.93424,                0.90712,                0.94179,                 0.8015,                0.67391,                0.46553,                0.98081,             0.00011488,             0.00011488,             0.00011488
                     74,                0.48254,                0.33977,                0.91272,                0.93204,                0.89191,                0.93525,                0.79402,                0.68036,                0.48971,                0.98825,             0.00011092,             0.00011092,             0.00011092
                     75,                0.49959,                0.35167,                0.92657,                0.93941,                0.90789,                0.94544,                0.80263,                0.67284,                0.44718,                0.98314,             0.00010696,             0.00010696,             0.00010696
                     76,                 0.4751,                  0.336,                0.91325,                0.93701,                0.92038,                0.93994,                0.79461,                0.68518,                0.45925,                0.98951,               0.000103,               0.000103,               0.000103
                     77,                0.49095,                0.33743,                 0.9222,                0.93946,                0.91575,                0.93871,                0.80009,                 0.6798,                0.46198,                0.98764,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.47885,                0.32963,                0.91487,                0.93709,                0.91645,                0.94855,                0.80041,                0.67022,                0.43772,                0.98097,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.47542,                0.33471,                0.91452,                0.94008,                0.90355,                0.94482,                0.80428,                0.66831,                0.45351,                0.97731,              9.112e-05,              9.112e-05,              9.112e-05
